source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
TSPA,Online Safety Counsel,Apple,Trust & Safety,United States,"Cupertino, CA, US",Counsel,Legal,,,,2026-05-12,,,,https://jobs.apple.com/en-us/details/200659862-0836/online-safety-counsel,https://jobs.apple.com/en-us/details/200659862-0836/online-safety-counsel,64,
TSPA,Tools and Automation Engineer – Trust and Safety,Apple,Trust & Safety,United States,"Cupertino, CA, US",Engineer,Engineering,,,,2026-05-12,,,,https://jobs.apple.com/en-us/details/200655217-0836/tools-and-automation-engineer-trust-and-safety?team=SFTWR,https://jobs.apple.com/en-us/details/200655217-0836/tools-and-automation-engineer-trust-and-safety?team=SFTWR,120,
TSPA,Software Engineer – Trust & Safety Solutions Engineer,Apple,Trust & Safety,United States,"Cupertino, CA, US",Engineer,Engineering,,,,2026-05-12,,,,https://jobs.apple.com/en-us/details/200654963-0836/software-engineer-trust-safety-solutions-engineer?team=SFTWR,https://jobs.apple.com/en-us/details/200654963-0836/software-engineer-trust-safety-solutions-engineer?team=SFTWR,122,
TSPA,"AIML – Machine Learning and Applied Research, Responsible AI and Safety",Apple,Trust & Safety,United States,"Cupertino, CA",Specialist,Data,,,,2026-05-12,,,,https://jobs.apple.com/en-us/details/200648559-2926/aiml-machine-learning-and-applied-research-responsible-ai-and-safety?team=MLAI,https://jobs.apple.com/en-us/details/200648559-2926/aiml-machine-learning-and-applied-research-responsible-ai-and-safety?team=MLAI,123,
TSPA,"AIML – Senior ML Engineer, Responsible AI and Safety",Apple,Trust & Safety,United States,"San Francisco, CA, US",Senior,Data,,,,2026-05-12,,,,https://jobs.apple.com/en-us/details/200646873-3577/aiml-senior-ml-engineer-responsible-ai-and-safety?team=MLAI,https://jobs.apple.com/en-us/details/200646873-3577/aiml-senior-ml-engineer-responsible-ai-and-safety?team=MLAI,124,
TSPA,"Safeguards Policy Analyst, Fraud & Scams",Anthropic,Trust & Safety,United States,"San Francisco, CA",Analyst,Policy,,,,2026-05-12,,,,https://job-boards.greenhouse.io/anthropic/jobs/5174857008,https://job-boards.greenhouse.io/anthropic/jobs/5174857008,61,
TSPA,"Safeguards Enforcement Analyst, Safety Evaluations",Anthropic,Trust & Safety,United States,Remote,Analyst,Trust & Safety,,,,2026-05-12,,,,https://job-boards.greenhouse.io/anthropic/jobs/5137183008,https://job-boards.greenhouse.io/anthropic/jobs/5137183008,115,
TSPA,"Policy Design Manager, Age-Appropriate Design",Anthropic,Trust & Safety,United States,"San Francisco, CA",Manager,Policy,,,,2026-05-12,,,,https://job-boards.greenhouse.io/anthropic/jobs/5156326008,https://job-boards.greenhouse.io/anthropic/jobs/5156326008,133,
TSPA,AI / Emerging Tech Security Analyst,Alignerr,Trust & Safety,Mexico,Remote,Analyst,Trust & Safety,,,,2026-05-12,,,,https://www.alignerr.com/jobs/fd0bc7d0-0356-4606-8282-523b58448ee3,https://www.alignerr.com/jobs/fd0bc7d0-0356-4606-8282-523b58448ee3,100,
HigherEdJobs,"Assistant Professor, Criminal Justice",Clemson University,"Sociology, Anthropology, and Criminal Justice",United States,"Clemson, SC",Assistant Professor,Criminal Justice,,,,2026-05-11,2026-08-31,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179439584,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179439584,182,
HigherEdJobs,Instructor/Tenure-Track Assistant Professor of Criminal Justice,Quincy University,Criminal Justice,United States,"Quincy, IL",Assistant Professor,Criminal Justice,,,,2026-05-09,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179439198,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179439198,183,
"ACJS, ASC, HigherEdJobs","Teaching Instructor, Senior Teaching Instructor, Master Teaching Instructor, Teaching Assistant Professor, Teaching Associate Professor, Teaching Professor",East Carolina University,Department of Criminal Justice and Criminology,United States,"Greenville, NC",Teaching Faculty,Criminal Justice and Criminology,,,,2026-05-09,Open until filled,,,https://careers.acjs.org/job/teaching-instructor-senior-teaching-instructor-master-teaching-instructor-teaching-assistant-professor-teaching-associate-professor-teaching-professor/83922754/,"https://careers.acjs.org/job/teaching-instructor-senior-teaching-instructor-master-teaching-instructor-teaching-assistant-professor-teaching-associate-professor-teaching-professor/83922754/, https://asc41.org/wp-content/uploads/position_ad_ecu_0526.pdf, https://www.higheredjobs.com/faculty/details.cfm?JobCode=179439196",169,
jobs.ac.uk,Lecturer in Criminology,University of Hull,"School of Criminology, Politics and Law",United Kingdom,Kingston upon Hull,Lecturer,Criminology,,,,2026-05-07,2026-06-04,,,https://www.jobs.ac.uk/job/DRL957/lecturer-in-criminology,https://www.jobs.ac.uk/job/DRL957/lecturer-in-criminology,200,
"ACJS, ASC","Assistant Professor, Administration of Justice",University of Hawaii at Hilo,Administration of Justice,United States,"Hilo, HI",Assistant Professor,Administration of Justice,,,,2026-05-07,Open until filled,,,https://careers.acjs.org/job/assistant-professor-administration-of-justice-position-no-82009/83825802/,"https://careers.acjs.org/job/assistant-professor-administration-of-justice-position-no-82009/83825802/, https://asc41.org/wp-content/uploads/position_ad_hawaii_0526.pdf",170,
ASC,Visiting Assistant Professor or Instructor of Criminology,Otterbein University,Criminology,United States,"Westerville, OH",Visiting,"Criminology, Criminal Justice",,,,2026-04-30,2026-05-20,,,https://asc41.org/wp-content/uploads/position_ad_otterbein_0426.pdf,https://asc41.org/wp-content/uploads/position_ad_otterbein_0426.pdf,203,
ASC,Assistant Professor of Behavioral Forensics (Psychology & Law),Ball State University,Psychological Science,United States,"Muncie, IN",Assistant Professor,"Criminology, Criminal Justice",,,,2026-04-29,2026-06-01,,,https://asc41.org/wp-content/uploads/position_ad_bsu_0426.pdf,https://asc41.org/wp-content/uploads/position_ad_bsu_0426.pdf,217,
"ASC, jobs.ac.uk",Tenure-Track Assistant Professor in the Department of Sociology,University of Hong Kong,Department of Sociology,Hong Kong,Hong Kong,Assistant Professor,"Criminology, Criminal Justice",,,,2026-04-09,2026-07-01,,,https://asc41.org/wp-content/uploads/position_ad_hku_0426.pdf,"https://asc41.org/wp-content/uploads/position_ad_hku_0426.pdf, https://www.jobs.ac.uk/job/DRC415/tenure-track-assistant-professor-in-the-department-of-sociology",176,
ASC,Visiting Instructor in Criminal Justice,Purdue University Fort Wayne,Criminal Justice,United States,"Fort Wayne, IN",Visiting,"Criminology, Criminal Justice",,,,2026-04-06,Open until filled,,,https://asc41.org/wp-content/uploads/position_ad_purdue_0426.pdf,https://asc41.org/wp-content/uploads/position_ad_purdue_0426.pdf,4,
